,position,company,min_rank,mean_rank,kws_rank,job_count
0,Community Health Nurse - Registered Nurse,Fraser Health Authority,0,8.83,"health (0), authority (1), fraser (2), nurse (5), registered (10), community (35)",6
1,Senior Project Manager,Fraser Health Authority,0,9.0,"health (0), authority (1), fraser (2), manager (3), senior (6), project (42)",4
2,Project Manager,Fraser Health Authority,0,9.6,"health (0), authority (1), fraser (2), manager (3), project (42)",2
3,Senior Project Manager,Vancouver Coastal Health,0,11.17,"health (0), manager (3), vancouver (4), senior (6), coastal (12), project (42)",2
4,Community Health Nurse (RN),Vancouver Coastal Health,0,11.2,"health (0), vancouver (4), nurse (5), coastal (12), community (35)",10
5,Manager,J&M Group,3,11.5,"manager (3), group (20)",2
6,Financial Manager,Fraser Health Authority,0,14.6,"health (0), authority (1), fraser (2), manager (3), financial (67)",4
7,Registered Nurse/Registered Psychiatric Nurse,Fraser Health Authority,0,16.0,"health (0), authority (1), fraser (2), nurse (5), registered (10), psychiatric (78)",2
8,Senior Business Analyst,Fraser Health Authority,0,17.83,"health (0), authority (1), fraser (2), senior (6), analyst (44), business (54)",4
9,General Practitioner,Vancouver Coastal Health,0,18.0,"health (0), vancouver (4), coastal (12), general (34), practitioner (40)",2
10,Community Care Assistant (Community Health Worker),Vancouver Coastal Health,0,18.14,"health (0), vancouver (4), coastal (12), assistant (14), care (15), community (35), worker (47)",30
11,Registered Nurse / Registered Psychiatric Nurse,Vancouver Coastal Health,0,18.17,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), psychiatric (78)",2
12,Clinical Nurse Specialist,Fraser Health Authority,0,18.5,"health (0), authority (1), fraser (2), nurse (5), specialist (24), clinical (79)",2
13,Registered Nurse (RN) - Emergency,Vancouver Coastal Health,0,18.67,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), emergency (81)",14
14,Registered Nurse (RN) -Emergency,Vancouver Coastal Health,0,18.67,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), emergency (81)",2
15,Registered Nurse (RN) Emergency,Vancouver Coastal Health,0,18.67,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), emergency (81)",4
16,Senior Data Engineer,Fraser Health Authority,0,20.67,"health (0), authority (1), fraser (2), senior (6), engineer (9), data (106)",2
17,Project Manager,J&M Group,3,21.67,"manager (3), group (20), project (42)",2
18,"Registered Nurse, Medicine - Burnaby Hospital",Fraser Health Authority,0,21.75,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), burnaby (68), medicine (80)",22
19,Registered Nurse (RN),The Care Group,5,22.2,"nurse (5), registered (10), care (15), group (20), the (61)",2
20,Registered Nurse (RN) - Hospital at Home,Vancouver Coastal Health,0,22.43,"health (0), vancouver (4), nurse (5), hospital (8), registered (10), coastal (12), home (118)",6
21,"Analyst, Financial",Fraser Health Authority,0,22.8,"health (0), authority (1), fraser (2), analyst (44), financial (67)",2
22,Mental Health Worker,Fraser Health Authority,0,23.0,"health (0), authority (1), fraser (2), worker (47), mental (65)",2
23,Registered Nurse - Medicine - Surrey Memorial Hospital,Fraser Health Authority,0,23.11,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), surrey (45), memorial (57), medicine (80)",18
24,"Registered Nurse, Medicine - Surrey Memorial Hospital",Fraser Health Authority,0,23.11,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), surrey (45), memorial (57), medicine (80)",4
25,Assistant Shift Engineer,Provincial Health Services Authority,0,23.14,"health (0), authority (1), services (7), engineer (9), assistant (14), provincial (37), shift (94)",2
26,Senior QA Analyst,J&M Group,6,23.33,"senior (6), group (20), analyst (44)",2
27,"Registered Nurse, Medicine â Royal Columbian Hospital",Fraser Health Authority,0,24.0,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), royal (50), columbian (60), medicine (80)",20
28,"Registered Nurse, Medicine - Royal Columbian Hospital",Fraser Health Authority,0,24.0,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), royal (50), columbian (60), medicine (80)",14
29,Shift Engineer,Provincial Health Services Authority,0,24.67,"health (0), authority (1), services (7), engineer (9), provincial (37), shift (94)",2
30,Community Health Nurse / Registered Nurse (Langley),Fraser Health Authority,0,25.43,"health (0), authority (1), fraser (2), nurse (5), registered (10), community (35), langley (125)",2
31,Community Health Nurse - Registered Nurse - Langley,Fraser Health Authority,0,25.43,"health (0), authority (1), fraser (2), nurse (5), registered (10), community (35), langley (125)",14
32,Remote Software Tutor,"Varsity Tutors, a Nerdy Company",19,25.57,"company (19), software (21), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39)",1
33,Remote Tutor,"Varsity Tutors, a Nerdy Company",19,26.33,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39)",414
34,Remote C++ Tutor,"Varsity Tutors, a Nerdy Company",19,26.33,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39)",1
35,Senior Software Developer,D2L,6,26.67,"senior (6), software (21), developer (53)",2
36,Health Care Food Service Supervisor,Vancouver Coastal Health,0,27.57,"health (0), vancouver (4), coastal (12), care (15), supervisor (29), service (38), food (95)",2
37,Pharmacy Technician - Vancouver General Hospital,Fraser Health Authority,0,27.88,"health (0), authority (1), fraser (2), vancouver (4), hospital (8), technician (28), general (34), pharmacy (146)",4
38,"Registered Nurse (RN), Hospital Unit 5 - BC Cancer - Vancouver",Provincial Health Services Authority,0,28.4,"health (0), authority (1), vancouver (4), nurse (5), services (7), hospital (8), registered (10), provincial (37), unit (49), cancer (163)",2
39,Mental Health Nurse (RN/RPN),Vancouver Coastal Health,0,28.67,"health (0), vancouver (4), nurse (5), coastal (12), mental (65), rpn (86)",16
40,Community Health Nurse (RN) - Home Health,Vancouver Coastal Health,0,29.0,"health (0), vancouver (4), nurse (5), coastal (12), community (35), home (118)",2
41,Senior Data Developer,Vancouver Coastal Health,0,30.17,"health (0), vancouver (4), senior (6), coastal (12), developer (53), data (106)",2
42,Family Practitioner/General Practitioner,Health Match BC,0,30.2,"health (0), general (34), family (36), practitioner (40), match (41)",564
43,"Registered Nurse, Intensive Care Unit - Burnaby Hospital",Fraser Health Authority,0,30.5,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), unit (49), burnaby (68), intensive (147)",4
44,Registered Nurse - Intensive Care Unit - Royal Columbian Hospital,Fraser Health Authority,0,31.55,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), unit (49), royal (50), columbian (60), intensive (147)",2
45,"Registered Nurse, Intensive Care Unit - Royal Columbian Hospital",Fraser Health Authority,0,31.55,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), unit (49), royal (50), columbian (60), intensive (147)",58
